	decision	gains	losses
0	1	28	15
1	1	30	15
2	1	24	8
3	1	22	11
4	1	22	7
5	1	26	7
6	1	30	11
7	1	28	11
8	1	28	5
9	1	26	10
10	1	26	14
11	1	24	9
12	1	14	8
13	1	18	7
14	1	18	8
15	1	28	9
16	1	24	11
17	1	24	6
18	1	30	12
19	1	18	5
20	1	26	6
21	1	20	7
22	1	20	6
23	1	30	8
24	1	18	6
25	1	22	12
26	1	16	6
27	1	26	11
28	1	22	5
29	1	28	12
30	1	22	9
31	1	20	5
32	1	26	9
33	1	28	6
34	1	24	5
35	1	26	8
36	1	24	14
37	1	28	7
38	1	24	10
39	1	24	13
40	1	24	7
41	1	28	10
42	1	26	12
43	1	28	8
44	1	30	10
45	1	22	6
46	1	30	9
47	1	20	8
48	1	30	14
49	1	30	6
50	1	22	10
51	1	28	14
52	1	30	7
53	1	28	13
54	1	24	12
55	1	26	13
56	1	30	13
57	1	30	5
58	1	20	10
59	1	20	9
60	1	26	5
61	1	22	8
62	0	22	15
63	0	10	13
64	0	26	15
65	0	10	12
66	0	18	14
67	0	14	6
68	0	16	14
69	0	14	11
70	0	18	10
71	0	14	7
72	0	16	13
73	0	16	15
74	0	12	6
75	0	16	9
76	0	20	11
77	0	12	12
78	0	18	12
79	0	12	13
80	0	10	7
81	0	14	15
82	0	16	11
83	0	18	15
84	0	10	9
85	0	12	5
86	0	16	7
87	0	10	5
88	0	14	14
89	0	14	9
90	0	10	8
91	0	16	8
92	0	12	9
93	0	12	15
94	0	14	12
95	0	14	13
96	0	18	9
97	0	10	6
98	0	12	7
99	0	14	10
100	0	18	13
101	0	10	10
102	0	12	11
103	0	12	14
104	0	10	14
105	0	18	11
106	0	24	15
107	0	12	10
108	0	16	5
109	0	20	13
110	0	16	12
111	0	20	12
112	0	22	14
113	0	14	5
114	0	20	15
115	0	22	13
116	0	10	11
117	0	20	14
118	0	12	8
119	0	10	15
120	0	16	10
